Mkt-RF_percent,SMB_percent,HML_percent,RMW_percent,CMA_percent,RF_percent,Mkt-RF,SMB,HML,RMW,CMA,RF
0.21,0.41,0.15,-0.29,0.45,0.02,0.0021,0.0041,0.0015,-0.0029,0.0045,0.0002
0.64,1,-0.1,-0.9,-0.62,0.02,0.0064,0.01,-0.001,-0.009,-0.0062,0.0002
0.08,0.07,-0.1,0.41,-0.22,0.02,0.0008,0.0007,-0.001,0.0041,-0.0022,0.0002
0.52,1.46,0.29,-0.57,0.13,0.02,0.0052,0.0146,0.0029,-0.0057,0.0013,0.0002
-0.71,-0.16,-0.85,-1.4,-0.77,0.021,-0.0071,-0.0016,-0.0085,-0.014,-0.0077,0.00021
-4.06,0.33,2.21,0.32,1.46,0.021,-0.0406,0.0033,0.0221,0.0032,0.0146,0.00021
-0.09,0.31,0.14,0.36,1.01,0.021,-0.0009,0.0031,0.0014,0.0036,0.0101,0.00021
-0.73,-0.12,1.38,0.54,1.19,0.021,-0.0073,-0.0012,0.0138,0.0054,0.0119,0.00021
3.21,-0.97,-1.24,-0.79,-0.95,0.021,0.0321,-0.0097,-0.0124,-0.0079,-0.0095,0.00021
1.76,0.53,-1.51,-1.87,-0.07,0.021,0.0176,0.0053,-0.0151,-0.0187,-0.0007,0.00021
-1.71,0.34,0.93,0.83,1.18,0.021,-0.0171,0.0034,0.0093,0.0083,0.0118,0.00021
-0.69,-0.22,0.91,0.34,0.91,0.021,-0.0069,-0.0022,0.0091,0.0034,0.0091,0.00021
1.59,0.57,-1.31,-1.74,-1.03,0.021,0.0159,0.0057,-0.0131,-0.0174,-0.0103,0.00021
1.15,0.15,-0.19,-0.29,-0.61,0.021,0.0115,0.0015,-0.0019,-0.0029,-0.0061,0.00021
-0.26,2.32,-0.47,-1.46,-0.08,0.021,-0.0026,0.0232,-0.0047,-0.0146,-0.0008,0.00021
0.44,0.71,-0.51,-1.03,0.5,0.021,0.0044,0.0071,-0.0051,-0.0103,0.005,0.00021
-0.37,1.71,-1.15,-1.03,-0.49,0.021,-0.0037,0.0171,-0.0115,-0.0103,-0.0049,0.00021
0.23,1.18,-0.46,-1.27,0.34,0.021,0.0023,0.0118,-0.0046,-0.0127,0.0034,0.00021
-2.59,1.41,0.83,0.6,0.96,0.021,-0.0259,0.0141,0.0083,0.006,0.0096,0.00021
0.49,-0.64,-0.46,-0.62,-0.62,0.021,0.0049,-0.0064,-0.0046,-0.0062,-0.0062,0.00021
-0.44,0.28,0.3,0.28,0.94,0.021,-0.0044,0.0028,0.003,0.0028,0.0094,0.00021
-0.44,-0.4,-0.09,0.18,-0.05,0.021,-0.0044,-0.004,-0.0009,0.0018,-0.0005,0.00021
-2.82,0.23,1.36,1.04,0.33,0.021,-0.0282,0.0023,0.0136,0.0104,0.0033,0.00021
1.5,-3.37,-0.37,0.8,0.48,0.021,0.015,-0.0337,-0.0037,0.008,0.0048,0.00021
1.29,-0.13,0.15,-0.48,-1.07,0.022,0.0129,-0.0013,0.0015,-0.0048,-0.0107,0.00022
0.16,1.34,-0.54,-1.06,0.11,0.022,0.0016,0.0134,-0.0054,-0.0106,0.0011,0.00022
1.49,0.97,-1.37,-0.94,-0.65,0.022,0.0149,0.0097,-0.0137,-0.0094,-0.0065,0.00022
-0.05,1.14,-0.58,-0.34,-0.09,0.022,-0.0005,0.0114,-0.0058,-0.0034,-0.0009,0.00022
0.35,1.23,-1.24,-0.98,-0.09,0.022,0.0035,0.0123,-0.0124,-0.0098,-0.0009,0.00022
1.23,0.11,-1.79,-1.54,-0.9,0.022,0.0123,0.0011,-0.0179,-0.0154,-0.009,0.00022
-1.83,1.83,-0.08,-0.36,0.43,0.022,-0.0183,0.0183,-0.0008,-0.0036,0.0043,0.00022
0.57,0.94,-1.15,-1.77,-0.41,0.022,0.0057,0.0094,-0.0115,-0.0177,-0.0041,0.00022
-1.74,1.35,0.61,-0.62,0.45,0.022,-0.0174,0.0135,0.0061,-0.0062,0.0045,0.00022
0.24,0.69,0.18,0.04,-0.54,0.022,0.0024,0.0069,0.0018,0.0004,-0.0054,0.00022
0.7,-0.78,0.01,-0.01,0.92,0.022,0.007,-0.0078,0.0001,-0.0001,0.0092,0.00022
-0.58,1.79,-0.33,-2.01,0.74,0.022,-0.0058,0.0179,-0.0033,-0.0201,0.0074,0.00022
0.46,1.69,-1.13,-2.31,-0.11,0.022,0.0046,0.0169,-0.0113,-0.0231,-0.0011,0.00022
-2.69,1.27,0.59,-0.46,0.35,0.022,-0.0269,0.0127,0.0059,-0.0046,0.0035,0.00022
0.11,-0.99,0.36,0.38,0.25,0.022,0.0011,-0.0099,0.0036,0.0038,0.0025,0.00022
1.24,0.3,-1.63,-1,-1.11,0.022,0.0124,0.003,-0.0163,-0.01,-0.0111,0.00022
0.01,0.74,-0.36,-0.67,-1.12,0.022,0.0001,0.0074,-0.0036,-0.0067,-0.0112,0.00022
-1.04,1.78,0.16,-0.91,0.22,0.022,-0.0104,0.0178,0.0016,-0.0091,0.0022,0.00022
0.76,-0.2,-0.11,0.2,0.61,0.022,0.0076,-0.002,-0.0011,0.002,0.0061,0.00022
1.96,1.62,-0.68,-1.78,0.74,0.022,0.0196,0.0162,-0.0068,-0.0178,0.0074,0.00022
1.39,0.91,-0.61,-1.31,-0.08,0.02,0.0139,0.0091,-0.0061,-0.0131,-0.0008,0.0002
-0.09,0.11,0.28,0.92,0.56,0.02,-0.0009,0.0011,0.0028,0.0092,0.0056,0.0002
2.3,-0.22,-0.96,-1.01,-0.56,0.02,0.023,-0.0022,-0.0096,-0.0101,-0.0056,0.0002
-0.77,1.69,0.25,-1.29,0.48,0.02,-0.0077,0.0169,0.0025,-0.0129,0.0048,0.0002
-2.2,0.89,0.38,-0.54,-0.04,0.02,-0.022,0.0089,0.0038,-0.0054,-0.0004,0.0002
0.69,-0.66,-0.26,0.29,-1.49,0.02,0.0069,-0.0066,-0.0026,0.0029,-0.0149,0.0002
2.45,-0.71,-0.56,0.59,-1.23,0.02,0.0245,-0.0071,-0.0056,0.0059,-0.0123,0.0002
-0.43,0.31,0.26,0.32,0.01,0.02,-0.0043,0.0031,0.0026,0.0032,0.0001,0.0002
-1.48,-0.77,1.1,1.47,0.05,0.02,-0.0148,-0.0077,0.011,0.0147,0.0005,0.0002
-2.33,-0.9,1.23,2.3,-0.3,0.02,-0.0233,-0.009,0.0123,0.023,-0.003,0.0002
0.83,-4.31,1.5,3.21,1.4,0.02,0.0083,-0.0431,0.015,0.0321,0.014,0.0002
4.25,-3.34,0.36,0.98,-0.31,0.02,0.0425,-0.0334,0.0036,0.0098,-0.0031,0.0002
0.62,0.26,-0.69,-0.08,-0.38,0.02,0.0062,0.0026,-0.0069,-0.0008,-0.0038,0.0002
-1.71,-2.44,2.11,3.05,0.58,0.02,-0.0171,-0.0244,0.0211,0.0305,0.0058,0.0002
1.95,-2.5,-0.39,0.3,-1.21,0.02,0.0195,-0.025,-0.0039,0.003,-0.0121,0.0002
1.31,2.22,-1.29,-2.05,-0.62,0.02,0.0131,0.0222,-0.0129,-0.0205,-0.0062,0.0002
1.48,-0.81,0.38,0.96,-0.07,0.02,0.0148,-0.0081,0.0038,0.0096,-0.0007,0.0002
0.11,-0.36,-0.04,0.11,-0.21,0.02,0.0011,-0.0036,-0.0004,0.0011,-0.0021,0.0002
-0.39,0.21,-0.42,-0.2,0.37,0.02,-0.0039,0.0021,-0.0042,-0.002,0.0037,0.0002
-1.34,-0.96,0.92,0.78,0,0.02,-0.0134,-0.0096,0.0092,0.0078,0,0.0002
-1,-2.14,1.9,2.68,0.87,0.02,-0.01,-0.0214,0.019,0.0268,0.0087,0.0002
-1.76,-1.44,1.67,1.57,0.67,0.02,-0.0176,-0.0144,0.0167,0.0157,0.0067,0.0002
1.19,0.32,0.01,-1.61,0.03,0.02,0.0119,0.0032,0.0001,-0.0161,0.0003,0.0002
-1.67,-3.42,2.16,4.4,2.18,0.024,-0.0167,-0.0342,0.0216,0.044,0.0218,0.00024
-1.2,-1.92,0.26,1.71,0.51,0.024,-0.012,-0.0192,0.0026,0.0171,0.0051,0.00024
