"","V1"
"1",0.003771035
"2",0.0004899141
"3",0.003058684
"4",-0.009804994
"5",-0.03930918
"6",0.001710338
"7",0.0007452219
"8",0.02651995
"9",0.01091782
"10",-0.01335858
"11",-0.00460602
"12",0.01188625
"13",0.01040476
"14",-0.007065516
"15",0.0003121563
"16",-0.007330612
"17",-0.003126568
"18",-0.02823258
"19",0.005836484
"20",-0.004431619
"21",-0.004156204
"22",-0.02805081
"23",0.02469485
"24",0.01035174
"25",-0.0003335637
"26",0.01096535
"27",-0.0006411333
"28",-0.0003112761
"29",0.01197849
"30",-0.02125512
"31",0.003400243
"32",-0.0214123
"33",0.001810887
"34",0.008454948
"35",-0.01052937
"36",0.0002050583
"37",-0.0310671
"38",0.004286673
"39",0.006061139
"40",-0.00556973
"41",-0.01516009
"42",0.01073708
"43",0.01331507
"44",0.009102114
"45",0.001661729
"46",0.01944285
"47",-0.0129767
"48",-0.0261653
"49",0.007940129
"50",0.02507957
"51",-0.004934055
"52",-0.008441305
"53",-0.01804373
"54",0.02378262
"55",0.04634578
"56",0.003905461
"57",-0.005567831
"58",0.02504451
"59",0.004321629
"60",0.0174425
"61",-0.00012799225
"62",-0.00255962
"63",-0.01084138
"64",0.0003238558
"65",-0.01394985
"66",0.006938763
"67",0.004679226
"68",-0.007731614
"69",-0.005176119
"70",0.009108564
"71",0.009708095
"72",-0.008112112
"73",-0.002815662
"74",-0.02276294
"75",-0.01857818
"76",-0.0602851
"77",0.03230811
"78",0.0280203
"79",-0.010096908
"80",0.004700641
"81",-0.003507741
"82",0.03249429
"83",-0.01143654
"84",0.002446382
"85",-0.008802611
"86",0.01060316
"87",-0.01529953
"88",-0.0220315
"89",-0.004145528
"90",0.01599726
"91",-0.006152701
"92",-0.008712924
"93",-0.02104505
"94",0.01751411
"95",0.009067325
"96",0.02162714
"97",0.009145106
"98",-0.01274972
"99",-0.00757149
"100",-0.0215095
"101",-0.004667837
"102",-0.01959208
"103",0.01793918
"104",-0.01283911
"105",-0.002766656
"106",0.031503
"107",-0.001531402
"108",0.01948327
"109",0.01926646
"110",-0.006720169
"111",-0.006872993
"112",0.009051268
"113",-0.006787485
"114",-0.003414472
"115",-0.007724052
"116",0.01590021
"117",0.0005683711
"118",0.005373891
"119",-0.009877051
"120",0.0144214
"121",-0.006966129
"122",0.001972263
"123",-0.01856817
"124",-0.007575563
"125",0.009368627
"126",-0.003456148
"127",0.002759316
"128",-0.008760674
"129",0.008249462
"130",0.00997852
"131",-0.0162293
"132",0.006952882
"133",0.01490555
"134",-0.002460347
"135",0.003318272
"136",0.007857454
"137",0.001713936
"138",0.009168493
"139",9.77024e-05
"140",-0.01139106
"141",-0.008157526
"142",0.008901859
"143",-0.01057695
"144",-0.01103991
"145",0.006688074
