Mkt-RF_percent,SMB_percent,HML_percent,RMW_percent,CMA_percent,RF_percent,Mkt-RF,SMB,HML,RMW,CMA,RF
0.0551,0.019,0.018,-0.0167,0.0201,0.008,5.51,1.9,1.8,-1.67,2.01,0.8
-0.0122,-0.0149,0.0062,0.0011,0.0304,0.0089,-1.22,-1.49,0.62,0.11,3.04,0.89
-0.129,-0.0697,-0.0106,0.0138,-0.0134,0.0121,-12.9,-6.97,-1.06,1.38,-1.34,1.21
0.0397,0.01,0.0106,-0.0209,0.0054,0.0126,3.97,1,1.06,-2.09,0.54,1.26
0.0526,0.021,0.0039,0.0031,-0.0047,0.0081,5.26,2.1,0.39,0.31,-0.47,0.81
0.0306,0.0147,-0.0089,-0.0009,-0.0095,0.0061,3.06,1.47,-0.89,-0.09,-0.95,0.61
0.0649,0.0393,-0.063,0.0394,-0.0246,0.0053,6.49,3.93,-6.3,3.94,-2.46,0.53
0.018,0.0426,-0.0264,0.021,-0.008,0.0064,1.8,4.26,-2.64,2.1,-0.8,0.64
0.0219,0.0058,-0.0479,0.0203,-0.0281,0.0075,2.19,0.58,-4.79,2.03,-2.81,0.75
0.0106,0.0233,-0.0274,0.0167,-0.0122,0.0095,1.06,2.33,-2.74,1.67,-1.22,0.95
0.0959,-0.034,-0.0835,0.0453,-0.0574,0.0096,9.59,-3.4,-8.35,4.53,-5.74,0.96
-0.0452,-0.0031,0.0268,-0.0125,0.0118,0.0131,-4.52,-0.31,2.68,-1.25,1.18,1.31
-0.0504,0.0337,0.0684,-0.0354,0.0435,0.0104,-5.04,3.37,6.84,-3.54,4.35,1.04
0.0057,-0.0049,0.0097,0.0019,0.0225,0.0107,0.57,-0.49,0.97,0.19,2.25,1.07
0.0356,0.0308,0.0067,-0.0234,-0.0053,0.0121,3.56,3.08,0.67,-2.34,-0.53,1.21
-0.0211,0.046,0.0226,0.0082,0.012,0.0108,-2.11,4.6,2.26,0.82,1.2,1.08
0.0011,0.0245,-0.0043,0.0033,-0.016,0.0115,0.11,2.45,-0.43,0.33,-1.6,1.15
-0.0236,-0.0097,0.0513,-0.0135,0.0268,0.0135,-2.36,-0.97,5.13,-1.35,2.68,1.35
-0.0154,-0.0197,-0.0066,0.0108,-0.0304,0.0124,-1.54,-1.97,-0.66,1.08,-3.04,1.24
-0.0704,-0.0181,0.0484,-0.0025,0.0146,0.0128,-7.04,-1.81,4.84,-0.25,1.46,1.28
-0.0717,-0.0249,0.052,-0.0002,0.0279,0.0124,-7.17,-2.49,5.2,-0.02,2.79,1.24
0.0492,0.0224,-0.0421,0.0329,-0.0276,0.0121,4.92,2.24,-4.21,3.29,-2.76,1.21
0.0336,-0.0138,0.019,0.001,0.0063,0.0107,3.36,-1.38,1.9,0.1,0.63,1.07
-0.0365,0.0119,0.0074,0.0019,0.0241,0.0087,-3.65,1.19,0.74,0.19,2.41,0.87
-0.0324,-0.0118,0.0317,-0.0152,0.0208,0.008,-3.24,-1.18,3.17,-1.52,2.08,0.8
-0.0586,0.0037,0.061,-0.0338,0.0457,0.0092,-5.86,0.37,6.1,-3.38,4.57,0.92
-0.0187,0,0.0378,-0.0144,0.0237,0.0098,-1.87,0,3.78,-1.44,2.37,0.98
0.0327,0.0115,-0.0278,0.0151,-0.0015,0.0113,3.27,1.15,-2.78,1.51,-0.15,1.13
-0.0399,0.0056,0.0181,0.0091,-0.0009,0.0106,-3.99,0.56,1.81,0.91,-0.09,1.06
-0.0309,-0.0051,0.0154,0.0003,0.0272,0.0096,-3.09,-0.51,1.54,0.03,2.72,0.96
-0.0319,0.0095,0.0015,0.0103,0.0154,0.0105,-3.19,0.95,0.15,1.03,1.54,1.05
0.1114,-0.0429,0.0116,-0.0196,0.0018,0.0076,11.14,-4.29,1.16,-1.96,0.18,0.76
0.0129,0.0257,0.0034,0.0212,-0.0004,0.0051,1.29,2.57,0.34,2.12,-0.04,0.51
0.113,0.0192,-0.0368,0.003,-0.0037,0.0059,11.3,1.92,-3.68,0.3,-0.37,0.59
0.0467,0.0453,-0.0196,-0.0105,0.0032,0.0063,4.67,4.53,-1.96,-1.05,0.32,0.63
0.0055,-0.0001,0.0001,-0.0007,0.0103,0.0067,0.55,-0.01,0.01,-0.07,1.03,0.67
0.036,0.0328,-0.0086,-0.015,-0.0046,0.0069,3.6,3.28,-0.86,-1.5,-0.46,0.69
0.0259,0.029,0.0067,-0.0057,0.0102,0.0062,2.59,2.9,0.67,-0.57,1.02,0.62
0.0282,0.0142,0.0207,-0.0007,0.0281,0.0063,2.82,1.42,2.07,-0.07,2.81,0.63
0.0667,0.0049,0.006,-0.0016,0.016,0.0071,6.67,0.49,0.6,-0.16,1.6,0.71
0.0052,0.0622,-0.014,-0.0185,-0.0153,0.0069,0.52,6.22,-1.4,-1.85,-1.53,0.69
0.0307,0.0115,-0.0387,0.0252,-0.0089,0.0067,3.07,1.15,-3.87,2.52,-0.89,0.67
-0.0407,0.0098,0.0562,-0.0003,0.0284,0.0074,-4.07,0.98,5.62,-0.03,2.84,0.74
-0.005,-0.0434,0.0555,0.0045,0.0195,0.0076,-0.5,-4.34,5.55,0.45,1.95,0.76
0.0091,0.0025,0.0109,0.0121,0.0059,0.0076,0.91,0.25,1.09,1.21,0.59,0.76
-0.0344,-0.0382,0.0506,-0.0081,0.0297,0.0076,-3.44,-3.82,5.06,-0.81,2.97,0.76
0.0216,0.0188,-0.0062,-0.0048,0.0064,0.007,2.16,1.88,-0.62,-0.48,0.64,0.7
-0.0178,-0.0047,0.0167,0.0159,0.0121,0.0073,-1.78,-0.47,1.67,1.59,1.21,0.73
-0.0192,-0.0007,0.0763,-0.0093,0.03,0.0076,-1.92,-0.07,7.63,-0.93,3,0.76
-0.0482,-0.0162,0.0336,0.0082,0.0157,0.0071,-4.82,-1.62,3.36,0.82,1.57,0.71
0.0063,-0.0028,0.0048,-0.0093,0.0109,0.0073,0.63,-0.28,0.48,-0.93,1.09,0.73
-0.0051,-0.0101,0.0129,0.0327,0.0076,0.0081,-0.51,-1.01,1.29,3.27,0.76,0.81
-0.0597,0.0008,0.0026,0.0232,-0.005,0.0078,-5.97,0.08,0.26,2.32,-0.5,0.78
0.0182,0.0007,-0.026,0.0308,-0.0151,0.0075,1.82,0.07,-2.6,3.08,-1.51,0.75
-0.0274,-0.0222,0.0049,0.0369,-0.0217,0.0082,-2.74,-2.22,0.49,3.69,-2.17,0.82
0.1028,-0.003,-0.0185,-0.0089,-0.0081,0.0083,10.28,-0.3,-1.85,-0.89,-0.81,0.83
-0.008,0,0.0532,0.014,0.0253,0.0086,-0.8,0,5.32,1.4,2.53,0.86
-0.0084,-0.0143,0.0051,0.0117,-0.0116,0.01,-0.84,-1.43,0.51,1.17,-1.16,1
-0.0176,-0.0098,0.0408,0.0081,0.0208,0.0073,-1.76,-0.98,4.08,0.81,2.08,0.73
0.0184,-0.0069,-0.0017,0.0121,-0.0126,0.0064,1.84,-0.69,-0.17,1.21,-1.26,0.64
0.0799,0.0349,-0.0543,-0.0083,-0.0336,0.0065,7.99,3.49,-5.43,-0.83,-3.36,0.65
0.0122,0.01,-0.0012,0.0126,0.0103,0.0058,1.22,1,-0.12,1.26,1.03,0.58
-0.0084,-0.0148,0.041,0.0118,0.0294,0.0062,-0.84,-1.48,4.1,1.18,2.94,0.62
-0.0096,-0.001,0.0373,0.0159,0.0071,0.0072,-0.96,-0.1,3.73,1.59,0.71,0.72
0.0509,-0.0233,-0.0086,0.013,-0.0139,0.0066,5.09,-2.33,-0.86,1.3,-1.39,0.66
0.0127,0.0031,0.004,0.0173,-0.0059,0.0055,1.27,0.31,0.4,1.73,-0.59,0.55
-0.0074,0.0289,-0.0163,-0.0045,-0.0031,0.0062,-0.74,2.89,-1.63,-0.45,-0.31,0.62
-0.0102,-0.0032,0.0228,-0.0004,0.0188,0.0055,-1.02,-0.32,2.28,-0.04,1.88,0.55
-0.0454,-0.0181,0.0132,0.0116,0.0161,0.006,-4.54,-1.81,1.32,1.16,1.61,0.6
0.0402,-0.0155,0.0078,0.0092,-0.0111,0.0065,4.02,-1.55,0.78,0.92,-1.11,0.65
0.0648,0,-0.0287,0.0029,-0.0233,0.0061,6.48,0,-2.87,0.29,-2.33,0.61
0.0388,-0.0039,-0.0153,0.0097,-0.018,0.0065,3.88,-0.39,-1.53,0.97,-1.8,0.65
0.0065,0.0101,0.0053,-0.0202,-0.0205,0.0056,0.65,1.01,0.53,-2.02,-2.05,0.56
