"","V1"
"1",-0.0201428866666667
"2",0.0840610233333333
"3",-0.0240302033333333
"4",-0.09726726
"5",0.03092076
"6",0.0485256566666667
"7",0.0365158633333333
"8",0.0526679866666667
"9",0.020033
"10",0.0262359233333333
"11",0.01411222
"12",0.0602986033333333
"13",-0.00722757966666667
"14",-0.0725651966666667
"15",0.0383910966666667
"16",0.03305972
"17",-0.0295540333333333
"18",-0.003463454
"19",-0.0211728533333333
"20",0.00438957733333333
"21",-0.0599063433333333
"22",-0.0504977733333333
"23",0.0581440033333333
"24",0.01445708
"25",-0.0276736166666667
"26",-0.0420164766666667
"27",-0.0395077266666667
"28",0.00328557833333333
"29",0.0253963066666667
"30",-0.04579665
"31",-0.02782886
"32",0.00184729666666667
"33",0.08121162
"34",0.0304824233333333
"35",0.1044501
"36",0.0231489666666667
"37",-0.003318126
"38",0.0323338633333333
"39",0.05339493
"40",0.0134921433333333
"41",0.05713147
"42",0.00215220866666667
"43",0.0361639233333333
"44",-0.0405564133333333
"45",0.0127913466666667
"46",0.00894134866666667
"47",-0.0136347433333333
"48",0.0165358166666667
"49",-0.0154583533333333
"50",-0.00854805866666667
"51",-0.0289653433333333
"52",-0.002003437
"53",0.02250061
"54",-0.05423868
"55",-0.000944448033333333
"56",0.00503605633333333
"57",0.0670293433333333
"58",-0.00241154333333333
"59",0.0166755866666667
"60",-0.0288116733333333
"61",0.0149983533333333
"62",0.0766479666666667
"63",0.0249088533333333
"64",-0.01135452
"65",-0.01667764
"66",0.0591203966666667
"67",0.0157770033333333
"68",-0.00212261833333333
"69",-0.02260498
"70",-0.0157706466666667
"71",0.0338019466666667
"72",0.0450286433333333
"73",0.0440717933333333
"74",0.0201942233333333
"75",0.05167621
"76",0.0417824266666667
"77",-0.000323259973333333
"78",0.0407219466666667
"79",0.0277330066666667
"80",-0.0707686333333333
"81",0.05594586
"82",-0.0622963933333333
"83",0.05058293
"84",0.0127271466666667
"85",-0.01084457
"86",0.114512566666667
"87",0.0230252133333333
"88",0.0322407833333333
"89",-0.0153063766666667
"90",0.005829861
"91",0.0438569366666667
"92",0.0467718533333333
"93",0.01781664
"94",0.01157887
"95",-0.247060066666667
"96",-0.09778803
"97",0.0979640133333333
"98",-0.00390601533333333
"99",0.0462852533333333
"100",-0.0429266933333333
"101",0.02070977
"102",0.0190149166666667
"103",0.01848097
"104",0.00108921533333333
"105",-0.0527751866666667
"106",0.0486964566666667
"107",0.02743173
"108",-0.02434993
"109",0.00983751666666667
"110",0.0756290466666667
"111",-0.0347280733333333
"112",0.0312525066666667
"113",0.0413949966666667
"114",0.0401371733333333
"115",-0.00912982933333333
"116",0.0733861033333333
"117",0.0280776233333333
"118",-0.00868483766666667
"119",-0.02852192
"120",0.0267543666666667
"121",0.025036
"122",-0.09029828
"123",0.0114087666666667
"124",0.01717842
"125",-0.0197937666666667
"126",0.08843082
"127",-0.0105847266666667
"128",-0.01179399
"129",-0.09615057
"130",-0.0261154266666667
"131",-0.02594429
"132",0.05363927
"133",0.00679137266666667
"134",0.04919934
"135",0.0765296333333333
"136",0.00179618933333333
"137",0.0235321433333333
"138",0.01987582
"139",-0.0268857233333333
"140",0.0236688066666667
"141",0.0125263566666667
"142",-0.007901023
"143",0.005107276
"144",-0.0259936466666667
"145",0.0895775466666667
"146",-0.0189327233333333
"147",0.00682152366666667
"148",-0.0203976366666667
"149",0.0200915466666667
"150",0.0112297633333333
"151",-0.0109066833333333
"152",0.0289272333333333
"153",-0.0216640366666667
"154",0.000336955533333333
"155",0.0152071633333333
"156",0.0185831966666667
"157",0.0104300433333333
"158",0.0160830766666667
"159",-0.00136144033333333
"160",0.01838147
"161",-0.0177472933333333
"162",0.0251642766666667
"163",-0.01085524
"164",0.00230510866666667
"165",0.0282534533333333
"166",-0.00422906433333333
"167",0.0166024166666667
"168",-0.0156808466666667
"169",0.00744806566666667
"170",0.02983591
"171",-0.03238673
"172",-0.05674019
"173",0.0313607266666667
"174",0.00986642666666667
"175",-0.0255270333333333
"176",0.0323441166666667
"177",0.0257266666666667
"178",-0.0247694866666667
"179",0.0140550866666667
"180",-0.0428872966666667
"181",0.02209507
"182",0.0239602466666667
"183",0.0315214666666667
"184",0.0324464233333333
"185",0.02397771
"186",0.0363196433333333
"187",0.02479806
"188",0.0222887033333333
"189",0.00711849166666667
"190",0.0308269433333333
"191",0.003938392
"192",0.0378098966666667
"193",0.0220420266666667
"194",0.02783789
"195",0.008889026
"196",0.0140379666666667
"197",0.000949443
"198",0.0194818366666667
"199",0.01183155
"200",-0.0393540566666667
"201",0.00683779033333333
"202",0.05079978
"203",0.0207525633333333
"204",0.0719468766666667
"205",-0.02655537
"206",0.06495861
"207",0.0104885466666667
"208",-0.0462456533333333
"209",0.0495195866666667
"210",0.0578638766666667
"211",0.0510750166666667
"212",0.0607271333333333
"213",-0.0212345366666667
"214",0.02921148
"215",-0.01766072
"216",0.03699675
"217",-8.14263333333334e-05
"218",0.02622102
"219",0.04500302
"220",0.0557364066666667
"221",0.0111958266666667
"222",-0.0274864566666667
"223",0.0510993466666667
"224",-0.0323116233333333
"225",-0.112695633333333
"226",-0.00821358966666667
"227",0.119245466666667
"228",0.0553893733333333
"229",0.0436701333333333
"230",0.0356164133333333
"231",-0.0297248233333333
"232",0.0452036066666667
"233",0.0457232566666667
"234",-0.0459225833333333
"235",0.0645231033333333
"236",-0.03939214
"237",0.001946352
"238",-0.03725506
"239",0.05379876
"240",0.0313238533333333
"241",0.0399730933333333
"242",-0.0324364533333333
"243",-0.0219742966666667
"244",0.0875575266666667
"245",-0.0257826366666667
"246",-0.0136619733333333
"247",0.01380688
